round_update,round_number,round_start_date,round_end_date,grant_title,grant_id,region,category,url,match_amount,num_contributions,num_unique_contributors,crowdfund_amount_contributions_usd,crowdfund_amount_contributions_usd_update,total,total_update,region_update,count,total_update_grouped,grant_id_update
GR12,12,2021-12-01,2021-12-16,DropMagnet.com,2456,europe,NFTs,https://gitcoin.co/grants/2456/dropmagnetcom,0,10,10,26,26,26,26,europe,1,1386166,1
GR12,12,2021-12-01,2021-12-16,FightPandemics⚛️,668,undefined,Community,https://gitcoin.co/grants/668/fightpandemics,0,10,9,25,25,25,25,worlwide,1,1502191,1
GR12,12,2021-12-01,2021-12-16,MetaSpace (Panvala League) 🛡,568,north_america,Community,https://gitcoin.co/grants/568/metaspace-panvala-league,0,9,9,22,22,22,22,north america,1,2341629,1
GR12,12,2021-12-01,2021-12-16,Prime Rating - Permissionless DeFi Rating (Panvala League),2349,europe,dApp Tech,https://gitcoin.co/grants/2349/prime-rating-permissionless-defi-rating-panvala-l,0,10,9,50,50,50,50,europe,1,1386166,1
GR12,12,2021-12-01,2021-12-16,Open Social Network,3058,europe,dApp Tech,https://gitcoin.co/grants/3058/open-social-network,0,3,3,76,76,76,76,europe,1,1386166,1
GR12,12,2021-12-01,2021-12-16,Babel - Compiler for next generation JavaScript,2906,undefined,Infra Tech,https://gitcoin.co/grants/2906/babel-compiler-for-next-generation-javascript,0,7,7,33,33,33,33,worlwide,1,1502191,1
GR12,12,2021-12-01,2021-12-16,Mafia creativa,2673,europe,Community,https://gitcoin.co/grants/2673/mafia-creativa,0,6,5,25,25,25,25,europe,1,1386166,1
GR12,12,2021-12-01,2021-12-16,Ants-Review,1628,europe,dApp Tech,https://gitcoin.co/grants/1628/ants-review,0,10,10,15,15,15,15,europe,1,1386166,1
GR12,12,2021-12-01,2021-12-16,BuidlIn  :  A rust guide for web3 development,1228,none,Community,https://gitcoin.co/grants/1228/buidlin-a-rust-guide-for-web3-development,0,6,6,38,38,38,38,worlwide,1,1502191,1
GR12,12,2021-12-01,2021-12-16,Customata - Decentralized recommendation engine for internet search and social media,780,india,dApp Tech,https://gitcoin.co/grants/780/customata-decentralized-recommendation-engine-for,0,12,12,119,119,119,119,india,1,71396,1
GR12,12,2021-12-01,2021-12-16,CLAIRVOYANT ALLIANCE ART - AUGMENTED REALITY PHYSICAL NFTs,2031,north_america,Community,https://gitcoin.co/grants/2031/clairvoyant-alliance-art-augmented-reality-physic,0,9,9,11,11,11,11,north america,1,2341629,1
GR12,12,2021-12-01,2021-12-16,Kaleido ~Decentralized Ad~,3614,east_asia,dApp Tech,https://gitcoin.co/grants/3614/kaleido-decentralized-ad,0,8,8,13,13,13,13,east asia,1,285554,1
GR12,12,2021-12-01,2021-12-16,NFT Viewer,2497,southeast_asia,NFTs,https://gitcoin.co/grants/2497/nft-viewer,0,9,9,26,26,26,26,southeast asia,1,107380,1
GR12,12,2021-12-01,2021-12-16,Zouzoukwa: Promoting African cultures on the blockchain,3571,africa,NFTs,https://gitcoin.co/grants/3571/zouzoukwa-promoting-african-cultures-on-the-block,0,6,6,22,22,22,22,africa,1,32850,1
GR12,12,2021-12-01,2021-12-16,zang,2854,europe,NFTs,https://gitcoin.co/grants/2854/zang,0,7,7,24,24,24,24,europe,1,1386166,1
GR12,12,2021-12-01,2021-12-16,Immunefi Whitehat Scholarship,2272,europe,Community,https://gitcoin.co/grants/2272/immunefi-whitehat-scholarship,0,5,5,22,22,22,22,europe,1,1386166,1
GR12,12,2021-12-01,2021-12-16,Crypto investors are in the dark about their portfolios.,3474,north_america,dApp Tech,https://gitcoin.co/grants/3474/crypto-investors-are-in-the-dark-about-their-port,0,7,7,20,20,20,20,north america,1,2341629,1
GR12,12,2021-12-01,2021-12-16,ETH Gas.watch,1175,undefined,Infra Tech,https://gitcoin.co/grants/1175/eth-gaswatch,0,5,5,19,19,19,19,worlwide,1,1502191,1
GR12,12,2021-12-01,2021-12-16,"SkyTransfer – Free, Open-Source, Decentralized and Encrypted File-Sharing",2998,europe,dApp Tech,https://gitcoin.co/grants/2998/skytransfer-free-open-source-decentralized-and-en,0,7,6,17,17,17,17,europe,1,1386166,1
GR12,12,2021-12-01,2021-12-16,The Hooman Club,3645,undefined,NFTs,https://gitcoin.co/grants/3645/the-hooman-club,0,8,8,9,9,9,9,worlwide,1,1502191,1
GR12,12,2021-12-01,2021-12-16,MetaTrophies - NFTs of Achievement,3651,north_america,NFTs,https://gitcoin.co/grants/3651/metatrophies-nfts-of-achievement,0,8,8,9,9,9,9,north america,1,2341629,1
