round_update,round_number,round_start_date,round_end_date,grant_title,grant_id,region,category,url,match_amount,num_contributions,num_unique_contributors,crowdfund_amount_contributions_usd,crowdfund_amount_contributions_usd_update,total,total_update,region_update,count,total_update_grouped,grant_id_update
GR12,12,2021-12-01,2021-12-16,Bitcoin Automatic Investment,3443,none,dApp Tech,https://gitcoin.co/grants/3443/bitcoin-automatic-investment,2,39,39,95,95,97,97,worlwide,1,1502191,2
GR12,12,2021-12-01,2021-12-16,Defiant Pixel Society,2407,north_america,NFTs,https://gitcoin.co/grants/2407/defiant-pixel-society,2,27,27,455,455,458,458,north america,1,2341629,3
GR12,12,2021-12-01,2021-12-16,Primitives Lane,1625,east_asia,Community,https://gitcoin.co/grants/1625/primitives-lane,2,24,23,727,727,729,729,east asia,1,285554,5
GR12,12,2021-12-01,2021-12-16,The easiest debugger tool for Smart Contracts,3496,east_asia,Infra Tech,https://gitcoin.co/grants/3496/the-easiest-debugger-tool-for-smart-contracts,2,31,30,541,541,543,543,east asia,1,285554,2
GR12,12,2021-12-01,2021-12-16,Stake News - Identify Fake News,3981,latin_america,Community,https://gitcoin.co/grants/3981/stake-news-identify-fake-news,2,23,22,179,179,181,181,latin america,1,237134,1
GR12,12,2021-12-01,2021-12-16,Tokenized Tweets,1090,africa,NFTs,https://gitcoin.co/grants/1090/tokenized-tweets,2,44,39,161,161,163,163,africa,1,32850,3
GR12,12,2021-12-01,2021-12-16,Moni Talks 🗞,4064,europe,Community,https://gitcoin.co/grants/4064/moni-talks,2,4,4,27,27,29,29,europe,1,1386166,1
GR12,12,2021-12-01,2021-12-16,The Lexicon,4031,north_america,Community,https://gitcoin.co/grants/4031/the-lexicon,2,23,21,211,211,213,213,north america,1,2341629,1
GR12,12,2021-12-01,2021-12-16,CryptoAvisos,3374,latin_america,Community,https://gitcoin.co/grants/3374/cryptoavisos,2,29,29,391,391,393,393,latin america,1,237134,2
GR12,12,2021-12-01,2021-12-16,Dystopia Labs - IRL Summit & Hackathon Series,2783,north_america,NFTs,https://gitcoin.co/grants/2783/dystopia-labs-irl-summit-hackathon-series,2,43,35,287,287,289,289,north america,1,2341629,3
GR12,12,2021-12-01,2021-12-16,ETHTPS.info,4139,europe,Grants Round 12,https://gitcoin.co/grants/4139/ethtpsinfo,2,28,27,638,638,639,639,europe,1,1386166,1
GR12,12,2021-12-01,2021-12-16,やさしいDeFi (Yasashi DeFi),2058,east_asia,Community,https://gitcoin.co/grants/2058/yasashiidefi-yasashi-defi,2,26,25,203,203,204,204,east asia,1,285554,4
GR12,12,2021-12-01,2021-12-16,Room DAO by Newsroom,3533,europe,Community,https://gitcoin.co/grants/3533/room-dao-by-newsroom,2,28,28,131,131,132,132,europe,1,1386166,2
GR12,12,2021-12-01,2021-12-16,DataToken | Open Marketplace for  Decentralized Data,2316,east_asia,NFTs,https://gitcoin.co/grants/2316/datatoken-open-marketplace-for-decentralized-data,2,97,82,381,381,383,383,east asia,1,285554,4
GR12,12,2021-12-01,2021-12-16,DeFi Study Club,1799,east_asia,dApp Tech,https://gitcoin.co/grants/1799/defi-study-club,2,47,47,239,239,241,241,east asia,1,285554,5
GR12,12,2021-12-01,2021-12-16,Citizen (Crypto) Corner – blueprint to occupy empty spaces in our cities and turn them into local crypto hubs,4092,europe,Grants Round 12,https://gitcoin.co/grants/4092/citizen-crypto-corner-blueprint-to-occupy-empty-s,2,24,24,161,161,162,162,europe,1,1386166,1
GR12,12,2021-12-01,2021-12-16,nfDAO [Panvala League],2292,north_america,NFTs,https://gitcoin.co/grants/2292/nfdao-panvala-league,2,35,34,98,98,100,100,north america,1,2341629,4
GR12,12,2021-12-01,2021-12-16,DeSchool,4307,north_america,Grants Round 12,https://gitcoin.co/grants/4307/deschool,2,20,20,1351,1351,1352,1352,north america,1,2341629,1
GR12,12,2021-12-01,2021-12-16,Biomarkers to measure aging - Norn Group,4089,north_america,Grants Round 12,https://gitcoin.co/grants/4089/biomarkers-to-measure-aging-norn-group,2,30,28,1009,1009,1010,1010,north america,1,2341629,1
GR12,12,2021-12-01,2021-12-16,BUIDL Honduras,231,latin_america,Community,https://gitcoin.co/grants/231/buidl-honduras,1,29,28,270,270,271,271,latin america,1,237134,9
GR12,12,2021-12-01,2021-12-16,stakeall.finance :  Building Staking & DeFi Strategies,3251,india,dApp Tech,https://gitcoin.co/grants/3251/stakeallfinance-building-staking-defi-strategies,1,35,34,110,110,112,112,india,1,71396,2
GR12,12,2021-12-01,2021-12-16,Web3WP - bringing NFT minting to WordPress,4223,north_america,Grants Round 12,https://gitcoin.co/grants/4223/web3wp-bringing-nft-minting-to-wordpress,1,25,23,193,193,194,194,north america,1,2341629,1
GR12,12,2021-12-01,2021-12-16,Low Budget Stories,3486,europe,Community,https://gitcoin.co/grants/3486/low-budget-stories,1,9,9,216,216,218,218,europe,1,1386166,1
GR12,12,2021-12-01,2021-12-16,Arkhivist,3650,middle_east,Infra Tech,https://gitcoin.co/grants/3650/arkhivist,1,25,25,313,313,314,314,middle east,1,16093,2
GR12,12,2021-12-01,2021-12-16,Blockchain Education Network (BEN) [Panvala League],49,undefined,Community,https://gitcoin.co/grants/49/blockchain-education-network-ben-panvala-league,1,31,30,184,184,185,185,worlwide,1,1502191,10
GR12,12,2021-12-01,2021-12-16,Abridged,274,none,Infra Tech,https://gitcoin.co/grants/274/abridged,1,37,35,78,78,79,79,worlwide,1,1502191,10
GR12,12,2021-12-01,2021-12-16,Women Of Crypto Art [Panvala League],1761,europe,Community,https://gitcoin.co/grants/1761/women-of-crypto-art-panvala-league,1,31,31,126,126,127,127,europe,1,1386166,5
GR12,12,2021-12-01,2021-12-16,Web3.0 dApp Dev Camp,3891,east_asia,Community,https://gitcoin.co/grants/3891/web30-dapp-dev-camp,1,27,25,98,98,100,100,east asia,1,285554,1
GR12,12,2021-12-01,2021-12-16,PathOfDao,3570,north_america,NFTs,https://gitcoin.co/grants/3570/pathofdao,1,49,40,278,278,279,279,north america,1,2341629,2
GR12,12,2021-12-01,2021-12-16,Impact X Crypto Masterminds,4234,north_america,Grants Round 12,https://gitcoin.co/grants/4234/impact-x-crypto-masterminds,1,21,21,226,226,227,227,north america,1,2341629,1
GR12,12,2021-12-01,2021-12-16,🪐 The Opsciverse,2599,europe,dApp Tech,https://gitcoin.co/grants/2599/the-opsciverse,1,34,34,198,198,199,199,europe,1,1386166,3
GR12,12,2021-12-01,2021-12-16,Cryptoouf: A blog about DeFI for the Future of France,1311,europe,Community,https://gitcoin.co/grants/1311/cryptoouf-a-blog-about-defi-for-the-future-of-fra,1,26,26,172,172,173,173,europe,1,1386166,6
GR12,12,2021-12-01,2021-12-16,Boston Matrix,4296,europe,Grants Round 12,https://gitcoin.co/grants/4296/boston-matrix,1,4,4,7,7,8,8,europe,1,1386166,1
GR12,12,2021-12-01,2021-12-16,Jukebox,3775,north_america,dApp Tech,https://gitcoin.co/grants/3775/jukebox,1,25,23,227,227,228,228,north america,1,2341629,1
GR12,12,2021-12-01,2021-12-16,A scalable open science platform for longevity intervention testing in Daphnia,4108,north_america,Grants Round 12,https://gitcoin.co/grants/4108/a-scalable-open-science-platform-for-longevity-in,1,7,7,256,256,257,257,north america,1,2341629,1
GR12,12,2021-12-01,2021-12-16,Web3Designers  [Panvala League],2609,north_america,Community,https://gitcoin.co/grants/2609/web3designers-panvala-league,1,25,24,180,180,181,181,north america,1,2341629,3
GR12,12,2021-12-01,2021-12-16,BLOCKCHAIN TAXATION PROTOCOL - GLOBAL TAX - Quadratic Voting,3610,latin_america,dGov,https://gitcoin.co/grants/3610/blockchain-taxation-protocol-global-tax-quadratic,1,23,23,378,378,379,379,latin america,1,237134,2
GR12,12,2021-12-01,2021-12-16,Reputable DAO,4257,north_america,Grants Round 12,https://gitcoin.co/grants/4257/reputable-dao,1,19,19,284,284,285,285,north america,1,2341629,1
